Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
2001-01-03,9.8317396816902e-06,-0.00010797751060858092,2.6472183289900327e-05,-2.0268322568028735e-05,-2.577186156272283e-06,-8.20080050224507e-06,-2.1895621335634285e-06,1.2595372713739621e-05,-1.2726385710356263e-05,1.3551111937257448e-05,-7.111020680534364e-06,-5.857621227313063e-06,4.637559141107264e-07,1.15712333310304e-05,3.638152213506312e-06,-2.3153921792793866e-05,-4.769447615082117e-06,-9.552789270392898e-06,5.261180807335823e-06,-1.0853466830797613e-05,-1.0770232222510271e-05,-6.23732954601015e-06,-3.75210749838421e-05,6.459728882527205e-06,-1.2929971748393217e-05,-3.610038489122869e-07,-1.978083530860868e-06,-1.1910229028813496e-06,6.89164801254635e-06,9.55974693629095e-06,1.6767031264245425e-05,2.1747307360392246e-06,-8.940357055031161e-07,-1.6807329317648692e-06,2.8768714736999475e-06,6.504359002642443e-06,1.2349415763577207e-07,1.000310728148813,-2.5842324119478416e-05,-2.0050269964204938e-07,-7.285422360476938e-07,9.64500930293646e-06,5.6776097134043384e-06,8.73678687454261e-06,-7.108105569950234e-05,-1.3743873114241141e-05,-3.3377997992956995e-05,-2.5160219729702304e-07,-2.969454988874752e-06
2001-01-04,2.7041874912009134e-05,-8.120665854647517e-05,-2.89939873206748e-05,-6.557407468011655e-05,1.3770743957344848e-05,7.789418261279104e-07,1.7912531033175104e-06,2.0908127657085774e-06,-1.259668858801112e-05,6.0092111692859416e-06,-1.268007778194767e-05,-5.363317326307128e-06,1.635293047927352e-05,-5.5067357091901665e-06,-1.3537097173535682e-05,-2.2460901914765378e-05,-2.206264659796882e-05,-1.7367656146344023e-05,1.3503619706817116e-05,-2.6570558909863074e-05,-1.6246266153134518e-05,3.496519055792926e-07,1.2753564431275132e-05,-1.5335347022354626e-05,2.2049213669798894e-05,-4.959264009389641e-06,-1.1213512813462285e-06,1.742987447729556e-05,2.879139283962261e-05,1.6097989998295793e-05,-2.6144731804440558e-05,2.4781759796190177e-06,-6.206556563801586e-06,1.9915302526745846e-06,2.511568322229805e-06,-3.6033909526265764e-06,3.2886618584441674e-06,1.0003661094282668,-3.2800157747057825e-05,-1.4775027971857728e-05,-4.3075015680383964e-06,6.207159035127745e-06,-5.279938294244741e-06,-1.6588613092967224e-05,-6.091768583205402e-05,4.3023371630260815e-06,4.840375187998316e-08,-7.59517562633911e-06,-3.1607194449277436e-06
2001-01-05,-3.8037888645167326e-06,-6.3631851409618e-05,-1.9296075610990477e-05,-5.9250954885792626e-05,1.6235697211479275e-06,-1.0378968455542789e-05,-1.7159646520564776e-05,8.421738152822088e-07,-2.166752970394856e-05,-1.5065019837802932e-05,4.1728350548969465e-06,-8.04695266392898e-06,1.4378627270747416e-06,-6.032540256694534e-06,-5.037032994521766e-06,-2.0471732959899434e-05,-3.5089109833340424e-06,-1.4593116459101718e-05,3.765915836226431e-06,-1.998817816670674e-05,1.4354679824708656e-06,-7.544519526244889e-06,-5.284489028323907e-06,-4.906961216699561e-05,2.949704783693983e-05,-4.224043473638983e-06,2.40676061602102e-06,2.2223439721442647e-06,1.501678965805919e-05,1.996965704101111e-06,-1.7373038786094357e-06,-2.9068750407265787e-07,5.741276851310895e-06,-1.1515096765494273e-06,6.548446888739582e-08,8.588198238470129e-07,2.511687364185192e-06,1.0003342595162015,-3.126607049212386e-05,-8.400576949355776e-06,-1.5213398686947497e-05,9.86165438609009e-06,-1.2555222974394039e-05,-2.4293962129926422e-05,-2.659168192912045e-05,3.511586178109057e-05,7.93878792730723e-06,1.1066000486338376e-06,-9.387961736837045e-08
2001-01-08,-1.5575306342892028e-05,-6.349829714684518e-05,3.68980475699239e-07,-3.633706788351816e-05,-1.473950865028269e-07,-1.73985424458872e-05,-1.4062432866333449e-05,7.4785100239199135e-06,-7.221002626524655e-06,-1.053458105132803e-05,3.558658317293819e-06,-2.8521101783824682e-05,-3.993276615491853e-06,-2.7691322449221773e-05,1.8286390115495083e-06,-3.7021382103177146e-05,1.0105654245032059e-05,-8.92075269782434e-06,6.70141996749399e-07,-3.7473012136428224e-06,-5.265866478165235e-06,4.839739561695566e-06,-9.166720494104811e-06,-2.565951854163454e-05,5.523453312163376e-06,5.736628830755999e-06,-1.2236717849574596e-05,-3.191132626954232e-05,1.2450798509304075e-05,1.1986644081335273e-05,4.260642183838024e-05,3.541165599556508e-06,3.6329642803481375e-06,1.1197821447336355e-05,-8.345304323989088e-08,-2.08169843557856e-06,9.662352238383904e-06,1.00044886493387,-3.635377999525695e-05,-5.7804672241826665e-06,-1.5112661105315515e-05,-1.3452966297620091e-05,-7.700318957638163e-06,3.8035188210673362e-06,-6.26978869071232e-05,-1.2037037530238229e-05,-3.605135638933068e-05,-2.166785643816206e-05,-5.017810425693795e-06
2001-01-09,-1.222095047578061e-05,-1.910951430668989e-05,-2.7416386042526582e-05,-2.257642671512832e-05,-1.65690629681732e-05,-7.566671016319242e-06,-1.9358474660468523e-05,-1.962365710296345e-05,-1.3287236305394987e-05,5.272775426061007e-06,-2.4156623748743852e-05,-9.157761707445623e-06,1.2190800670083003e-05,-1.9679277927709996e-05,2.3980181508071635e-05,-5.889433770294809e-05,-7.128791425588036e-06,-5.19767286585178e-06,-1.1129261435761008e-05,-3.2139283086719322e-06,-6.6834711697408705e-06,-2.1974049411029467e-05,7.5627667254880326e-06,-4.4471491049625334e-05,-2.9683991270748445e-05,-1.1166562137962746e-06,-5.826492446198049e-06,-3.1562750806777705e-05,2.0445616995960902e-05,1.5780872671097282e-05,3.8611826021272094e-05,2.736116188775488e-07,1.3543577236250253e-05,2.617423407719688e-05,-9.146165046240304e-07,5.379674819244211e-07,1.0432699873734243e-05,1.0005574691106855,-4.406733284358817e-05,-3.2136387390373224e-05,-2.640586401160322e-05,-1.0078615657178438e-06,6.0946494192247575e-06,-3.1172655790519035e-05,-2.8407486224856213e-05,1.8379897957565775e-05,-2.935051122638686e-05,-2.467612296480234e-07,1.1364350353856837e-05
2001-01-10,-1.3096392612170333e-06,-2.845558824749417e-06,4.288139541410394e-06,3.52656703696182e-05,1.5885632716142223e-05,-2.187645173985989e-05,-1.36511973030664e-05,-8.286390537301513e-06,1.6060894103811197e-05,-8.03727480422925e-06,-2.7790694627435714e-05,-2.294975920621067e-06,-1.0535276472459383e-06,-7.127795783736891e-06,1.4739192663589723e-05,3.040313465982035e-06,-9.607439214879593e-06,-1.1259948494252168e-05,-1.9547828018784564e-05,-1.2721499565848874e-05,-9.775655739253777e-06,-9.86937626473875e-06,2.745635319314757e-05,-5.2556563402117226e-05,-4.9042742800452714e-05,-1.3338832571366253e-06,5.547956723678064e-06,-8.644096558794147e-06,2.2272063966041847e-05,4.468896969727669e-05,6.910192340234308e-05,-4.730093490482292e-06,5.383222186301078e-06,-6.855967401097217e-06,-6.822240794352876e-06,-3.3149526006955505e-06,-4.336110259271916e-06,1.000059769688681,2.5924395247883164e-06,3.565340956838322e-06,2.178559043135365e-06,3.096941200779319e-06,1.3652747954711725e-06,-3.840917873882207e-05,1.5254004175306571e-05,-1.676613874757334e-05,-1.3493938641962893e-05,-7.466149294293013e-06,-1.914492398547914e-06
2001-01-11,-4.733549901594846e-06,-1.6198045534211665e-05,-1.466860180817375e-05,6.110047056066471e-05,1.2477510311710662e-06,-7.606621814743559e-06,-7.644378218848863e-07,2.6638032563145145e-06,-6.390802061683911e-07,-6.397343312512197e-06,-2.4695219300403568e-05,4.667290380720216e-08,-1.0523721085130084e-06,-1.385463497960783e-05,-2.5072469651937947e-06,-1.338520889026443e-05,-6.165868863583367e-06,-1.3536740744501824e-06,-4.562451933494787e-06,-5.430116441897555e-07,5.672230575727032e-07,-7.203614026395129e-06,5.495789787125559e-06,-1.1327573671463093e-05,-2.991333593054777e-06,-4.239790365616541e-08,-3.3442048068966983e-06,-3.1197802100992796e-05,7.711814563911217e-06,1.8017271580801203e-05,3.530859803943351e-05,-8.58850966446789e-06,-4.9027302244183555e-06,-4.362186692993937e-06,-1.9843376575009547e-06,-8.793880851939122e-07,-1.043277756313953e-05,1.000001148657129,7.032368935346981e-06,1.1506067215647371e-05,-6.514210370898995e-06,-4.92030664437472e-06,7.623011930880495e-06,-2.4194997019491532e-05,3.225824984521749e-05,1.34183232635085e-05,-1.2037935865174817e-06,-4.34204097457685e-06,5.333102531545956e-06
2001-01-12,1.3151346491606057e-05,-1.459163669965403e-05,-6.744077566011996e-06,3.677555815440497e-05,-1.6773762286684005e-05,-3.4266654666682358e-06,3.6627133244295712e-06,-5.043068731499224e-06,1.6034167018300654e-05,1.5757225526934433e-05,-1.0123120874312361e-05,-8.984492570893598e-06,1.163762153845972e-06,-1.2931344642659396e-05,-1.8988431949809815e-05,-3.075036728600902e-05,3.787471415242756e-05,4.902018218474831e-06,-6.052094170584177e-06,1.0379036950500853e-05,-3.990965223329758e-06,1.3809266753687876e-05,1.4634370891420275e-05,-2.0329404567571905e-05,2.2728725620100535e-05,1.954898383222489e-06,-9.237963296120842e-07,1.2466674224928592e-05,-1.085783335047235e-05,-3.5519890179700206e-05,1.1593662166978707e-05,3.720900887027088e-06,1.9390897562002973e-06,2.665182349585154e-06,3.2211619904616903e-06,-1.3405172871980084e-06,-9.755932445100679e-08,0.9999964747979994,4.347507077778945e-06,-1.2038766755665207e-05,2.4613863186862407e-05,-3.3500898450001493e-06,-5.793544280667179e-06,2.120052552949134e-06,1.185557613174477e-05,3.7406593845596904e-05,-2.123405102620198e-05,5.2678707551161595e-06,1.0862606483086071e-05
2001-01-16,1.654402204117981e-05,-1.153773389732739e-05,1.9661457415787597e-05,2.7411432784990393e-05,-9.531192319337617e-06,3.8847297207041364e-06,1.1185328735326211e-05,-3.149515437411902e-05,2.7625199296735907e-06,5.367353535110791e-06,1.7611475708864564e-05,-1.953611417695532e-05,-1.351776529720423e-05,-1.8755270053953574e-06,4.608237355651387e-06,-1.3418037982047135e-05,2.4427749170765705e-05,1.1155509656948716e-05,-1.8384811390123653e-06,-9.491810404666906e-06,-7.661917184262143e-06,-2.998026275373364e-05,-6.8331262417647865e-06,3.8744683635865996e-06,5.960805254977777e-05,1.6776101120260802e-05,-6.693937500377956e-06,8.06858392827114e-06,-1.3670367692765334e-05,4.318739297028222e-05,3.810259525774689e-05,-1.7784479362245805e-05,-1.6889218099858463e-05,-1.3694144710116523e-05,-1.1220089895109929e-05,-2.585487394406634e-06,-2.787815467476644e-06,0.9998901668327128,8.44805757108903e-06,-1.6841958068829637e-05,2.5728671216222345e-05,-2.9997976731005606e-05,-2.5305610827801834e-05,-3.6815997630694026e-06,4.683031241814866e-05,5.988670318541498e-06,-6.881370361814532e-06,-2.52485428831525e-05,9.0092462146742e-06
2001-01-17,1.3398732352943156e-05,9.737896167438613e-06,2.274165252448022e-05,2.616672271180345e-05,1.1377574124032467e-05,2.565763764650041e-07,8.983453616133583e-06,-1.2363061451450762e-05,-2.6441930257550776e-05,3.517010244862497e-06,3.446908679896391e-05,5.215950884636341e-06,3.4832426980206245e-06,-1.2476730716401724e-05,-3.561107716154354e-06,-3.196578218613652e-05,1.352734725522683e-05,-1.395270985770439e-05,-1.652242706762123e-05,-2.3782832602484787e-05,-1.865395461306343e-05,-1.7365191120073747e-05,-5.596165781828738e-07,1.023000129355314e-05,5.190954095123345e-05,4.369918228952818e-06,-2.7538948893013777e-06,-2.109721960816055e-05,2.979318910145864e-06,5.092495751206686e-05,5.439303557308357e-06,-5.661214179289288e-06,-1.0711887806395928e-05,-1.3587764787259606e-05,-2.1600880661695845e-06,-7.034791380500859e-06,-3.494285059552465e-06,0.9998746345850744,2.529468887992698e-05,-2.1370201466743878e-06,1.0653435052387076e-05,3.680906095525308e-06,-9.707483880907994e-06,2.2734404067249593e-05,4.213466957263682e-05,4.718040671243802e-06,-2.2606034557713882e-05,-6.538823284946175e-06,3.7779873739199217e-06
